epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1618,1.38861,0.70309,1.14374,0.95286,0.96639,0.96474,0.61013,0.39354,0.21913,0.37363,0.00911469,0.00911469,0.00911469
60,1632.59,1.39498,0.68525,1.13156,0.96665,0.96813,0.97501,0.61088,0.3912,0.36822,0.37493,0.00908488,0.00908488,0.00908488
61,1660.92,1.39682,0.71531,1.14696,0.93753,0.95673,0.96645,0.59869,0.40911,0.18742,0.3779,0.00905463,0.00905463,0.00905463
62,1697.56,1.37972,0.6688,1.15868,0.97643,0.97211,0.98208,0.6117,0.39401,0.35531,0.37624,0.00902395,0.00902395,0.00902395
63,1718.82,1.42337,0.67538,1.15823,0.97396,0.94821,0.97792,0.63038,0.40468,0.18495,0.3755,0.00899282,0.00899282,0.00899282
64,1773.83,1.30745,0.65969,1.07463,0.97982,0.96744,0.9789,0.62492,0.39741,0.20661,0.37196,0.00896127,0.00896127,0.00896127
65,1840.49,1.36327,0.72259,1.11406,0.96814,0.96844,0.97416,0.6431,0.38836,0.33534,0.37067,0.00892928,0.00892928,0.00892928
66,1865.69,1.38281,0.66894,1.12729,0.97591,0.96856,0.97904,0.62952,0.39017,0.20224,0.37375,0.00889687,0.00889687,0.00889687
67,1890.39,1.44504,0.73244,1.17525,0.96496,0.96813,0.97436,0.61453,0.40815,0.21596,0.37605,0.00886404,0.00886404,0.00886404
68,1915.05,1.43452,0.71521,1.1372,0.98287,0.97211,0.9787,0.6402,0.38518,0.23115,0.36996,0.00883079,0.00883079,0.00883079
69,1940.13,1.37696,0.65525,1.12947,0.98386,0.97136,0.97634,0.63112,0.38522,0.26685,0.36934,0.00879713,0.00879713,0.00879713
70,1963.04,1.35291,0.64474,1.14261,0.97933,0.96414,0.9768,0.64029,0.37871,0.2184,0.36599,0.00876305,0.00876305,0.00876305
71,1986.1,1.31085,0.62841,1.09698,0.98398,0.97879,0.9802,0.65075,0.38149,0.16552,0.36697,0.00872857,0.00872857,0.00872857
72,2013.35,1.31226,0.6763,1.09161,0.9837,0.96414,0.97246,0.6183,0.38746,0.22912,0.37087,0.00869368,0.00869368,0.00869368
73,2038.5,1.3015,0.66462,1.07958,0.97938,0.9761,0.97959,0.63717,0.38239,0.2211,0.36727,0.00865839,0.00865839,0.00865839
74,2063.84,1.2735,0.63205,1.11213,0.96812,0.96786,0.97285,0.6406,0.3752,0.17179,0.36553,0.00862271,0.00862271,0.00862271
75,2088.56,1.37112,0.64318,1.13142,0.97448,0.96813,0.96245,0.62214,0.37924,0.17151,0.36459,0.00858664,0.00858664,0.00858664
76,2113.56,1.23534,0.61528,1.08126,0.96593,0.97211,0.97262,0.63705,0.36544,0.2924,0.36201,0.00855018,0.00855018,0.00855018
77,2138.17,1.35451,0.65529,1.18743,0.97229,0.96813,0.97492,0.65959,0.36709,0.17318,0.36256,0.00851333,0.00851333,0.00851333
78,2159.81,1.37072,0.6754,1.17018,0.98235,0.96414,0.97843,0.65421,0.37455,0.18188,0.36551,0.00847611,0.00847611,0.00847611
