epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2428.34,1.20937,0.54821,1.27313,0.97393,0.98263,0.99295,0.70549,1.03248,0.39692,1.21168,0.00925697,0.00925697,0.00925697
55,2473.4,1.21733,0.55419,1.27251,0.97012,0.98698,0.9939,0.71121,1.02402,0.39759,1.20618,0.00922942,0.00922942,0.00922942
56,2519.65,1.18586,0.54675,1.26653,0.98574,0.97548,0.99394,0.71624,1.02321,0.39699,1.20444,0.00920142,0.00920142,0.00920142
57,2565.7,1.19317,0.53892,1.26387,0.98036,0.97828,0.99401,0.71998,0.99915,0.3874,1.19192,0.00917296,0.00917296,0.00917296
58,2612.3,1.17828,0.54121,1.24609,0.97728,0.98065,0.99395,0.71849,0.99234,0.38821,1.18808,0.00914405,0.00914405,0.00914405
59,2658.62,1.17823,0.52998,1.25372,0.97292,0.97611,0.993,0.71801,1.00261,0.40491,1.19119,0.00911469,0.00911469,0.00911469
60,2704.53,1.16615,0.53685,1.24296,0.98835,0.97068,0.99347,0.72544,0.9894,0.38551,1.18217,0.00908488,0.00908488,0.00908488
61,2750.61,1.17055,0.52553,1.24942,0.98573,0.97473,0.99398,0.72763,0.98307,0.38329,1.18026,0.00905463,0.00905463,0.00905463
62,2796.42,1.17557,0.53404,1.24096,0.98569,0.97209,0.99379,0.71968,1.00081,0.38761,1.18868,0.00902395,0.00902395,0.00902395
63,2842.6,1.17918,0.53072,1.25518,0.98834,0.9696,0.99415,0.72749,0.96341,0.3741,1.17245,0.00899282,0.00899282,0.00899282
64,2888.95,1.2075,0.5424,1.25402,0.98876,0.97503,0.9942,0.72981,0.97236,0.37677,1.18045,0.00896127,0.00896127,0.00896127
65,2935.16,1.14335,0.51073,1.23585,0.9794,0.98102,0.99422,0.7297,0.97225,0.37706,1.17671,0.00892928,0.00892928,0.00892928
66,2981.46,1.15662,0.54273,1.25111,0.9742,0.98378,0.9929,0.72386,0.98334,0.38613,1.18082,0.00889687,0.00889687,0.00889687
67,3027.58,1.12109,0.511,1.21087,0.97633,0.98543,0.99181,0.7277,0.96087,0.37993,1.16755,0.00886404,0.00886404,0.00886404
68,3073.83,1.15051,0.52818,1.21699,0.9805,0.9848,0.99366,0.73572,0.95802,0.36948,1.16639,0.00883079,0.00883079,0.00883079
69,3120.37,1.12935,0.51247,1.21019,0.98177,0.9848,0.99389,0.73339,0.96579,0.36792,1.1684,0.00879713,0.00879713,0.00879713
70,3165.69,1.12437,0.51887,1.21599,0.97925,0.9848,0.99357,0.74018,0.94261,0.36878,1.15328,0.00876305,0.00876305,0.00876305
71,3210.96,1.13336,0.50814,1.22853,0.98511,0.98154,0.99428,0.74287,0.93395,0.36491,1.14854,0.00872857,0.00872857,0.00872857
72,3256.94,1.13225,0.50181,1.21324,0.98519,0.97828,0.99421,0.73762,0.94069,0.3675,1.15276,0.00869368,0.00869368,0.00869368
73,3302.85,1.12115,0.51789,1.21233,0.98712,0.97286,0.99414,0.74082,0.93107,0.36814,1.14605,0.00865839,0.00865839,0.00865839
74,3348.9,1.12991,0.514,1.23645,0.98088,0.98154,0.994,0.73663,0.93793,0.37095,1.14921,0.00862271,0.00862271,0.00862271
75,3394.64,1.12097,0.51183,1.2354,0.98046,0.98068,0.99382,0.73782,0.93521,0.3694,1.14823,0.00858664,0.00858664,0.00858664
76,3440.9,1.15266,0.50618,1.20924,0.98568,0.98046,0.99376,0.74128,0.92105,0.36623,1.14289,0.00855018,0.00855018,0.00855018
77,3487.16,1.09878,0.50637,1.19353,0.98253,0.98154,0.9937,0.74274,0.91924,0.36661,1.14112,0.00851333,0.00851333,0.00851333
78,3532.12,1.12939,0.50228,1.21399,0.98474,0.98079,0.99416,0.75135,0.91152,0.36107,1.13834,0.00847611,0.00847611,0.00847611
79,3577.09,1.0925,0.51121,1.21597,0.98696,0.97937,0.99432,0.75175,0.90336,0.35909,1.13475,0.00843851,0.00843851,0.00843851
80,3622.7,1.07442,0.49547,1.19108,0.98901,0.97734,0.99415,0.75052,0.90776,0.35871,1.13501,0.00840054,0.00840054,0.00840054
81,3668.57,1.09813,0.49287,1.21282,0.98795,0.97912,0.994,0.7539,0.89829,0.35697,1.12822,0.0083622,0.0083622,0.0083622
82,3714.05,1.11489,0.49544,1.20263,0.98162,0.9857,0.99416,0.75296,0.89868,0.35624,1.12703,0.00832349,0.00832349,0.00832349
83,3759.75,1.11527,0.49607,1.22157,0.98421,0.98263,0.99417,0.75408,0.89259,0.3535,1.12489,0.00828443,0.00828443,0.00828443
84,3805.03,1.08171,0.48606,1.20541,0.98476,0.98255,0.99388,0.75863,0.88565,0.35503,1.12178,0.00824502,0.00824502,0.00824502
85,3850.56,1.0904,0.48546,1.19844,0.98689,0.98065,0.99379,0.75733,0.87946,0.3513,1.11985,0.00820525,0.00820525,0.00820525
86,3896.65,1.0872,0.48487,1.18837,0.98687,0.97941,0.99362,0.75649,0.88107,0.34929,1.11958,0.00816514,0.00816514,0.00816514
87,3942.14,1.08909,0.48906,1.19447,0.98454,0.98154,0.99355,0.75938,0.87667,0.34922,1.11598,0.00812468,0.00812468,0.00812468
88,3988.3,1.09799,0.50903,1.22435,0.98861,0.97611,0.99343,0.76004,0.86961,0.34754,1.11223,0.00808389,0.00808389,0.00808389
89,4034.44,1.07642,0.48951,1.19635,0.98471,0.97914,0.99354,0.76341,0.86033,0.34634,1.1072,0.00804277,0.00804277,0.00804277
90,4080.71,1.06927,0.48124,1.19402,0.98047,0.98129,0.99279,0.76551,0.85969,0.34636,1.10576,0.00800131,0.00800131,0.00800131
91,4126.72,1.05239,0.47324,1.15913,0.98261,0.98164,0.99371,0.76391,0.86006,0.34542,1.10622,0.00795954,0.00795954,0.00795954
